"Country",Latitude,Longitude,"SiteID","SiteName"
"Great Britain",51.5011,-0.1513,"S1091","Antler mattock series"
"France",44.62,5.08,"S1092","La Baume Sourde"
"France",44.68,5.38,"S1093","Antonnaire"
"Switzerland",47.504,9.428,"S1104","Arbon-Bleiche 3"
"France",49.29,5.96,"S1105","Arcole"
"Ireland",52.8711,-8.1496,"S1107","Ardcrony"
"Great Britain",55.9697,-4.9439,"S1108","Ardnadam"
"Great Britain",53.2546,-1.9251,"S1109","area with distinct areas of Meso and Neo occupation and structures"
"France",43.69,3.67,"S1111","Argelliers, Boussargues"
"France",44.85,3.92,"S1114","Arlempdes le Suc"
"Switzerland",47.4963,7.61757,"S1115","Arlesheim"
"Sweden",55.61,13.06,"S1116","Arlöv I"
"Ireland",54.3462,-6.662,"S1120","Armagh"
"France",48.13,3.37,"S1121","Armeau"
"Great Britain",52.6056,1.30667,"S1122","Arminghall"
"France",47.5478,-2.89139,"S1125","Arzon, chambre de petit mont II"
"Great Britain",51.8561,-1.56584,"S1127","Ascott-under-Wychwood"
"Ireland",52.933,-8.1885,"S1130","Ashleypark"
"Sweden",56.88,12.73,"S1132","Asige"
"France",46.43,0.29,"S1134","Aslonnes, camp Allaric"
"Germany",51.93,10.95,"S1135","Aspenstedt, Großer Berg"
"France",42.626,2.949,"S1136","Aspres del Paradis"
"Sweden",59.7,16.58,"S1139","Äs"
"Sweden",59.27,18.47,"S1144","Återvall"
"Luxembourg",49.77,6.25,"S1146","Atsebach"
"Sweden",58.16,13.57,"S1147","Åttagården"
"Germany",51.59,8.8,"S1148","Atteln I"
"Germany",51.59,8.8,"S1149","Atteln II"
"Great Britain",55.4749,-5.1728,"S1150","Auchareoch"
"Germany",51.6,11.56,"S1151","Augsdorf, Bröddelberg"
"Germany",51.42,10.93,"S1152","Auleben, Solberg"
"France",45.354,5.886,"S1153","Aulp du Seuil"
"France",48.45,1.7666,"S1157","Auneau (Parc du Château)"
"Switzerland",46.9753,6.87901,"S1160","Auvernier, La Saunerie"
"Switzerland",46.9753,6.87901,"S1161","Auvernier, Port"
"Switzerland",46.9753,6.87901,"S1162","Auvernier, Tranchée du Tram"
"Denmark",55.6555,9.63115,"S1163","Auve"
"France",44.77,0.22,"S1165","Aux Cramails"
"Great Britain",51.3193,-2.7507,"S1167","Aveline's Hole"
"Belgium",51.25,4.19,"S1168","Aven Ackers"
"France",43.79,3.73,"S1169","Aven d'Iscary"
"France",43.9493,4.80553,"S1170","Avignon La Balance"
"France",43.9493,4.80553,"S1171","Avignon La Palais"
"Germany",51.76,11.79,"S1176","Baalberge, Schneiderberg"
"Switzerland",47.2048,8.52452,"S1177","Baar - Früebergstrasse"
"Germany",48.0655,9.6071,"S1180","Bad Buchau, Torwiesen"
"Great Britain",51.2279,-2.6703,"S1182","Badger Hole"
"Switzerland",46.0824,7.21011,"S1184","Bagnes-Villette - Les Dzardis"
"Great Britain",57.0536,-2.4402,"S1188","Balbridie"
"Great Britain",56.2152,-3.153,"S1189","Balfarg Riding School"
"Great Britain",54.2078,-4.6607,"S1192","Ballaharra, IOM"
"France",49.1667,1.1833,"S1193","Ballastière de l'Onglais"
"Ireland",52.9805,-6.6748,"S1194","Ballintruer More"
"France",48.4,3.17,"S1195","Balloy les Reaudins"
"Ireland",52.1,-7.71667,"S1196","Ballynamintra"
"Ireland",54.2836,-9.3866,"S1197","Ballyglass"
"Ireland",55.0017,-6.4042,"S1198","Ballymacaldrack"
"Ireland",54.1521,-6.3728,"S1199","Ballymacdermot"
"Ireland",54.8216,-6.4579,"S1200","Ballymena"
"Ireland",54.6958,-6.8475,"S1201","Ballynagilly"
"Ireland",54.1521,-6.3728,"S1202","Ballyutoag"
"France",43.33,2.6,"S1203","Balma de Labeurador"
"France",45.08,5.39,"S1206","Balme Rousse"
"Netherlands",52.8084,5.7536,"S1212","Bantega"
"Great Britain",53.2755,-1.5921,"S1213","Bar Brook"
"France",44.09,4.85,"S1214","Le Baratin"
"France",48.38,3.05,"S1215","Barbey \"Chemin de Montereau\""
"France",48.53,3.54,"S1216","Barbuise-Courtavant"
"Germany",52.2,11.61,"S1217","Barleben"
"Sweden",57.12,12.27,"S1218","Barnabro"
"France",48.6667,-3.85,"S1219","Plouezoch, Barnenez Tombe f"
"Great Britain",58.9935,-3.2079,"S1220","Barnhouse"
"France",48.77,0.3,"S1221","Barreau Routier"
"Great Britain",51.6811,-1.25507,"S1223","Barrow Hills"
"Sweden",57.14,12.36,"S1225","Båtsberg"
"France",43.7164,6.13564,"S1229","Baudinard grotte C"
"France",47.3,6.83,"S1233","Baume de Montandon"
"France",44.27,4.42,"S1234","Baume de Montclus"
"France",44.32,4.47,"S1235","Baume d'Oullins"
"France",44.32,4.44,"S1236","Baume de Ronze"
"France",44.08,3.39,"S1237","Grotte de la Baume Layrou"
"France",44.97,3.89,"S1239","Baume Loire"
"France",47.4667,6.7,"S1240","Bavans"
"Switzerland",46.6856,6.56542,"S1241","Bavois - En Raillon"
"Switzerland",46.6856,6.56542,"S1242","Bavois-en Raillon VD"
"France",45.77,4.83,"S1244","BD PERIPH. NORD"
"Netherlands",53.21,6.58,"S1245","Be-45"
"Netherlands",53.21,6.58,"S1246","Be-52"
"Ireland",54.702,-6.9373,"S1247","Beaghmore"
"France",45.75,3.09,"S1248","BEAUMONT LE COLOMBIER"
"France",45.75,3.09,"S1249","BEAUMONT"
"France",45.69,6.81,"S1250","BEAUPRE 1"
"France",45.7,3.13,"S1251","BEAUSEJOUR"
"Germany",53.883,10.2999,"S1254","Bebensee LA76"
"Great Britain",51.4083,-1.9028,"S1255","Beckhampton"
"Great Britain",53.3362,-4.4604,"S1256","Bedd Branwen"
"Netherlands",52.52,6.45,"S1258","Beerzer Belten II"
"Netherlands",52.52,6.45,"S1259","Beerzer Belten I"
"France",47.8333,-4.35,"S1260","Beg An Dorchenn"
"France",48.39,-4.96,"S1261","BEG AR LOUED"
"France",46.87,-1.01,"S1263","BEL AIR"
"France",42.72,2.62,"S1264","Cauna de Belesta"
"France",45.95,0.25,"S1266","BELLEVUE"
"Great Britain",56.5148,-4.1635,"S1270","Ben Lawers"
"Netherlands",51.9978,5.6755,"S1271","Bennekom"
"France",48.84,2.38,"S1272","BERCY"
"Sweden",59.65,16.82,"S1273","Berga"
"Germany",50.95,6.62,"S1274","Bergheim"
"Netherlands",51.9255,4.78593,"S1275","Bergstoep"
"Netherlands",53.1657,6.0081,"S1276","Bergumermeer S-64A"
"Netherlands",53.1657,6.0081,"S1277","Bergumermeer S64-B"
"Germany",51.78,11.76,"S1280","Bernburg-Roschwitz"
"Germany",51.79,11.72,"S1281","Bernburg-Rösse"
"Germany",51.82,11.7,"S1282","Bernburg-Strenzfeld"
"Germany",51.78,11.7,"S1283","Bernburg, Rosengarten"
"France",43.24,2.76,"S1284","Berriac Le Plots"
"France",49.41,3.91,"S1285","Berry-au-Bac, Croix-Maigret"
"Netherlands",51.51,5.4,"S1287","Best"
"France",45.7167,5.25,"S1288","BETHENAS"
"Germany",49.5,11.73,"S1289","Bettelküche"
"Great Britain",57.5231,-7.2848,"S1293","Bharpa Carinish"
"Germany",54.07,11.73,"S1294","Biendorf, Trappenberg"
"Great Britain",55.6339,-3.57857,"S1295","Biggar Common"
"France",47.55,-2.91667,"S1298","BILGROIX"
"Germany",51.2806,11.0678,"S1300","Bilzingsleben"
"France",45.5611,-0.486844,"S1302","Biron, Rejolles"
"Switzerland",47.445,7.549,"S1303","Birsmatten, Basisgrotte"
"Germany",54.69,9.53,"S1307","Bistoft"
"Sweden",56.11,15.81,"S1308","Björkärr"
"Sweden",59.63,16.61,"S1309","Bjurhovda"
"Sweden",65,21.08,"S1310","Bjurselet"
"France",45.95,5.66,"S1311","BLACHETTE NORD"
"France",45.95,5.66,"S1312","BLACHETTE SUD"
"France",43.65,6.6,"S1313","BLAGNAT"
"France",43.91,3.51,"S1314","Blandas grotte des Pins"
"France",43.92,3.51,"S1315","Blandas grotte du Roc du Midi"
"Great Britain",50.6244,-2.07063,"S1316","Blashenwell"
"Germany",51.95,11.43,"S1317","Bleckendorf"
"Great Britain",50.3333,-4,"S1318","Bob's Cave"
"Germany",51.47,7.24,"S1322","Bochum-Altenbochum"
"Great Britain",57.6018,-3.29855,"S1324","Boghead"
"France",49.23,3.51,"S1325","BOIS DE SAPONAY"
"France",46.54,4.85,"S1326","BOIS DERRIERE"
"France",46.17,-1.37,"S1327","Bois en Re les Gouillauds"
"France",46.687,0.88645,"S1328","BOISDICHON GROTTE DE"
"Sweden",55.55,13.21,"S1329","Bökeberg III"
"Great Britain",55.7295,-6.4203,"S1333","Bolsay Farm"
"France",43.83,5.28,"S1334","Bonnieux fabrys"
"France",43.8291,5.3,"S1335","Bonnieux grotte Saint Gervais"
"Belgium",51.2544,5.4789,"S1336","Boomkwekerij"
"Netherlands",52.9264,6.79136,"S1337","Borger"
"Netherlands",51.28,5.42,"S1339","Borkel-Achterste Brug"
"Germany",51.84,6.85,"S1340","Borken"
"Netherlands",53.3318,5.95555,"S1341","Bornwerd"
"Belgium",50.38,4.03,"S1342","Bosse de la Tombe"
"Belgium",50.8,3.67,"S1343","Bosstraat"
"Germany",51.3,11.41,"S1345","Bottendorf"
"France",43.45,5.44,"S1346","BOUC-BEL-AIR-LA PETITE BASTIDE"
"France",44,4.19,"S1347","Boucouiran"
"France",46.37,-0.07,"S1348","Bougon F0"
"France",46.37,-0.07,"S1349","Bougon Tumulous C"
"France",46.37,-0.07,"S1350","Bougon Tumulous E"
"France",49.24,1.74,"S1352","Boury-en-Vexin \"le Cul Froid\""
"France",49.38,6.33,"S1353","BOUST"
"Great Britain",51.0306,-1.45223,"S1355","Braishfield"
"Germany",51.71,9.18,"S1356","Brakel, Hellenberg"
"Netherlands",51.883,4.817,"S1357","Brandwijk"
"Germany",50.73,11.91,"S1358","Braunsdorf"
"Sweden",56.73,13.11,"S1359","Breared"
"France",43.37,-0.76,"S1360","Brece, petit Vieux-Sou"
"Sweden",55.45,13.91,"S1361","Bredasten"
"Germany",51.97,10.35,"S1362","Bredelem"
"France",49,1.82,"S1363","Breuile en Vexin la Cave aux Fees"
"Great Britain",51.235,-2.6789,"S1364","Bridged Pot"
"Great Britain",51.2066,-2.41,"S1365","Bridgemere"
"Czech Republic",49.2,16.7,"S1370","Brno-Lisen"
"Great Britain",50.4947,-3.6709,"S1371","Broken Cave"
"Poland",52.75,18.07,"S1372","Broniewice"
"Netherlands",52.95,6.8168,"S1373","Bronneger"
"Poland",50.32,20.33,"S1374","Bronocice"
"Sweden",55.56,13.04,"S1375","Bronsyxegatan"
"Great Britain",51.0167,0.9667,"S1376","Brook"
"Great Britain",51.0306,-1.4523,"S1377","Broom Hill "
"Great Britain",53.4519,-1.6626,"S1379","Broomhead Moor"
"Great Britain",55.6699,-3.4684,"S1380","Brownsbank Farm"
"Great Britain",51.7613,-0.0016,"S1381","Broxbourne"
"Germany",50.3,8.79,"S1382","Bruchenbrücken"
"Germany",49.1012,8.6443,"S1383","Bruchsal-Heidelsheim"
"Germany",52.74,11.47,"S1384","Brunau"
"Great Britain",52.5515,-3.2302,"S1387","Brynderwen Farm"
"Poland",52.36,18.54,"S1388","Brzesc Kujawski 3/4"
"Germany",52.5146,12.93,"S1390","Buchow-Karpzow"
"France",43.15,1.18333,"S1391","BUHOLOUP"
"Netherlands",52.9318,6.83557,"S1392","Buinen"
"Great Britain",57.4735,-4.072,"S1393","Bulnuaran of Clava"
"Sweden",55.59,13.07,"S1394","Bultoftagården"
"France",48.3604,2.38837,"S1395","Buno Bonnevaux Bassin de la fountaine"
"France",48.3604,2.38837,"S1396","Buno Bonnevaux Champtier des Bureaux"
"Netherlands",52.2291,5.36148,"S1397","Bunschoten"
"France",43.83,5.38,"S1398","Buoux la Bramonde"
"Germany",49.53,10.03,"S1399","Aub-Burgerroth, Altenberg"
"Germany",49.71,9.27,"S1400","Bürgstadt, Bürgstadter Berg"
"Great Britain",51.1789,-2.8685,"S1402","Burtle Bridge "
"Great Britain",52.2741,-0.29459,"S1403","Burwell"
"France",48.49,2.16,"S1404","BUTTE SAINT MARTIN"
"Netherlands",52.16,6.75,"S1405","Buurser Veen"
"Great Britain",53.2546,-1.9251,"S1406","Buxton 2"
"France",43.4282,6.2306,"S1409","Cabasse dolmen de la Bouissiere"
"France",47.15,5.7333,"S1412","Cabones"
"France",43.36,2.46,"S1413","Cabrespine grotte du Gaougnas"
"France",43.58,3.36,"S1414","Cabrieres,  le Broum"
"France",43.58,3.37,"S1415","Cabrieres,  Pioch Farrus"
"France",43.58,3.36,"S1416","Cabrieres, Baume de Bourbon"
"France",43.58,3.36,"S1417","Cabrieres, Roque Fenestre"
"France",49.2352,-0.4414,"S1421","Cairon - La Pierre Tourneresse"
"France",43.8,4.38,"S1423","Caissargues Moulin Villard"
"Great Britain",56.012,-6.2377,"S1424","Caisteal Nan Gillean II"
"Great Britain",56.0115,-6.24529,"S1425","Caisteal"
"Germany",51.4,9.4,"S1429","Calden \"Galeriegrab I\""
"Germany",51.4,9.4,"S1430","Calden \"Galeriegrab II\""
"Germany",51.4,9.4,"S1431","Calden \"Erdwerk\""
"Great Britain",53.9922,-0.7308,"S1432","Callis Wold"
"Great Britain",57.0313,-6.0135,"S1433","Camas Daraich"
"France",46.43,0.29,"S1435","CAMP ALLARIC"
"France",42.44,2.34,"S1436","Camp del Ginebre"
"France",48.64,5.38,"S1437","CAMP LEPLEEN"
"France",45.19,0.68,"S1440","CAMPNIAC GROTTE DE"
"France",42.8592,2.4342,"S1442","Camps sur l'Agly grotte de Chincholle"
"Great Britain",58.3812,-3.2656,"S1443","Camster"
"Netherlands",52.9333,6.8167,"S1445","Canal nr Bronneger"
"Great Britain",57.4817,-4.2486,"S1446","Canal Road"
"France",43.35,5.27,"S1449","Cap Ragnon cave"
"France",44.5833,2.06667,"S1451","CAPDENAC LE HAUT"
"Great Britain",53.2295,-4.2639,"S1452","Capel Eithin"
"France",43.191,2.33632,"S1454","Carcassonne Auriac"
"France",43.2,2.34,"S1455","Carcassonne Carsac Mayrevieille"
"Great Britain",56.406,-5.4828,"S1459","Carding Mill Bay"
"Sweden",55.41,14.14,"S1461","Carlshögen"
"Great Britain",50.2203,-5.2471,"S1462","Carn Brea"
"Ireland",54.7386,-6.8168,"S1463","Carnanbane"
"Germany",53.35,13.24,"S1466","Carpin"
"France",47.02,5.45,"S1467","CARREFOUR DE GEVRY"
"Great Britain",56.007,-3.543,"S1469","Carriden"
"France",45.58,4.24,"S1470","CARRIERE SAGRA"
"Ireland",54.0475,-8.367,"S1471","Carrowkeel"
"Ireland",54.228,-8.57974,"S1472","Carrowmore"
"Great Britain",55.1225,-3.6153,"S1473","Carzield"
"Switzerland",46.2577,9.14116,"S1481","Castaneda - Pian del Remit"
"Switzerland",46.19,9.03,"S1482","Castelgrande, Bellinzona"
"Great Britain",57.4776,-4.2267,"S1485","Castle Street"
"Ireland",55.1151,-6.6644,"S1486","Castleroe"
"France",49.39,2.57,"S1490","Catenoy, Camp Cesar"
"Great Britain",50.3697,-4.1275,"S1492","Cattedown"
"France",43.43,4.91,"S1496","CAVAOU"
"Switzerland",46.74,9.41,"S1502","Cazis - Petrushügel"
"France",44,5.05,"S1506","Ceron"
"Czech Republic",50.6667,13.95,"S1507","Chabarovice"
"France",45.41,-0.08,"S1511","Challignac, le camp,"
"Switzerland",47.1778,8.46037,"S1512","Cham - Eslen"
"Switzerland",47.2114,8.45899,"S1513","Cham - Oberwil, Hof"
"Switzerland",47.18,8.47,"S1514","Cham - St. Andreas, Strandbad"
"France",45.82,3.27,"S1515","CHAMP CHALATRAS"
"France",46.7667,2.43333,"S1516","CHAMP DE LA GRANGE"
"France",47.1226,6.01188,"S1517","CHAMP DES CHAMPS"
"France",45.8,3.25,"S1518","CHAMP LAMET"
"France",45.75,3.09,"S1519","CHAMP MADAME"
"France",47.7402,3.59948,"S1520","Champ sur Yonne"
"France",47.95,3.44,"S1521","Champlay \"Les Carpes\""
"France",48.5667,1.58333,"S1522","CHANGE"
"France",48.96,3.01,"S1523","CHANGIS SUR MARNE"
"France",48.8667,2.33333,"S1524","CHANTIER DE BERCY"
"Great Britain",56.0847,-3.8703,"S1528","Chapelfield"
"France",45.43,5.52,"S1529","Charavins"
"France",46.56,4.91,"S1530","CHARETTE"
"France",46.89,4.7,"S1531","Camp de Chassey/Camp de Romain"
"Switzerland",46.4706,7.13032,"S1535","Chateaux d'Oex VD"
"France",44.31,4.19,"S1538","Grotte de Chazelles "
"France",45.65,0.32,"S1539","Chazelles, grotte de Queroy"
"Great Britain",51.25,-2.8333,"S1540","Chelm's Combe"
"France",43.45,5.83,"S1541","CHEMIN D'AIX"
"France",48.4,6.16667,"S1542","CHEMIN DE NAVIOT"
"France",45.9,6.13,"S1543","CHEMIN DES FINS"
"France",44.94,4.87,"S1544","CHEMIN DES MULETS"
"France",45.44,6.65,"S1545","CHENET DES PIERRES"
"Great Britain",51.4314,-1.9527,"S1547","Cherhill"
"Great Britain",51.7036,-0.612,"S1549","Chesham"
"France",45.1333,1.6,"S1550","Chez Jugie"
"France",43.66,6.92,"S1552","CHIRIS"
"France",47.07,5.44,"S1554","Choisey 'aux champins'"
"France",45.9916,0.98,"S1555","Abri de la Roche aux Fées"
"France",45.523,2.801,"S1556","CIRQUE DE LA FONTAINE SALEE"
"France",46.5708,5.7505,"S1557","Clairvaux, La Motte-aux-Magnins-Sud"
"Great Britain",56.2314,-4.20353,"S1559","Claish Farm"
"France",43.8407,3.87237,"S1560","Claret Rocher du Causse"
"Great Britain",56.5482,-3.3681,"S1561","Cleaven Dyke"
"Great Britain",56.376,-5.437,"S1562","Cleigh"
"Ireland",53.665,-7.40924,"S1563","Clonava Townland"
"France",44.4,3.06,"S1564","CLOS DE POUJOL"
"France",47.82,-0.73,"S1565","CLOS HENRY"
"Poland",50.89,21.54,"S1566","Cmielów"
"Great Britain",56.0155,-6.23501,"S1567","Cnoc Coig"
"Great Britain",56.0674,-6.21,"S1568","Cnoc Sligeach"
"France",47.79,5.34,"S1569","Cohons \"Camp de la Vergentière\""
"France",47.7667,-1.95,"S1570","COJOUX"
"France",43.47,6.52,"S1572","COLLE ROUSSE"
"Switzerland",46.2725,6.94818,"S1573","Collombey-Muraz - Barmaz I"
"France",49.29,-0.51,"S1574","COLOMBIERS SEULLES"
"France",42.85,2.92,"S1575","Coma Franceze"
"France",44.82,1.46,"S1576","COMBE FAGES 2"
"France",44.17,3.17,"S1577","Combe Greze"
"France",44.82,1.46,"S1578","COMBE NEGRE 2"
"France",44.82,1.46,"S1579","COMBE NEGRE"
"France",44.45,4.42,"S1580","Combe Obscure, Salleles"
"France",45.1333,5.68333,"S1581","COMBOIRE"
"France",49.39,2.78,"S1582","Compiegne Coq Galleux"
"France",49.39,2.79,"S1583","Compiegne Fond Pernant"
"France",49.4,2.8,"S1584","Compiegne Le Gord"
"France",49.39,2.79,"S1585","Compiegne le Hazoy"
"France",49.39,2.79,"S1586","Compiegne"
"France",49.3772,3.7884,"S1587","Concevreux"
"France",43.78,4.16,"S1589","Congenies Le Pesquier"
"France",42.6537,2.68043,"S1594"," Grotte de Montou"
"France",43.8958,3.94983,"S1596","Corconne grotte se la Boucle"
"Great Britain",50.9774,-1.1324,"S1597","Corhampton"
"France",45.054,3.851,"S1598","CORMAIL"
"Germany",51.73,11.83,"S1599","Cörmigk-Sixdorf"
"France",46.24,4.8,"S1600","CORMORANCHE SUR SAONE"
"France",43.53,5,"S1601","Cornille"
"Switzerland",46.4631,6.84342,"S1602","Corseaux-sur-Vevey - En Seyton"
"Switzerland",46.2657,6.20972,"S1603","Corsier, Port"
"France",47.9833,-2.91667,"S1605","COUEDAN"
"France",45.07,5.4,"S1607","Couffin"
"Great Britain",55.8,-6.4557,"S1608","Coulererach"
"France",45.73,0.15,"S1609","Les Coteaux de Coursac"
"France",44.0856,4.88296,"S1610","Courthezon, La Plaine des Blancs"
"France",44.4,4.93,"S1612","COUTELIER GROTTE"
"Belgium",50.5875,3.6861,"S1613","Couture de la Chaussée"
"France",42.83,2.89,"S1618","Cova de l'Esperit"
"Great Britain",56.089,-3.90445,"S1630","Cowie Road"
"France",48.4333,-4.3167,"S1631","Cran Izella"
"Great Britain",56.1259,-5.2407,"S1632","Crarae"
"Switzerland",46.8729,9.41139,"S1634","Crestis, Tamins"
"France",45.7833,3.08333,"S1636","Creux-Rouge"
"France",47.7667,-2,"S1638","CROIX SAINT PIERRE"
"France",46.3,4.72,"S1639","CROT DU CHARNIER"
"France",43.36,2.95,"S1640","Cruzy la Gare"
"France",49.386,3.7706,"S1653","Cuiry-les-Chaudardes"
"France",45.84,5.78,"S1655","Culoz sous Balme"
"Great Britain",50.5229,-2.4444,"S1656","Culverwell"
"Great Britain",54.8572,-4.05159,"S1657","Cumstoun"
"France",48.64,-4.44,"S1660","Curnic"
"Ireland",55.1195,-6.0577,"S1661","Cushendun"
"Great Britain",55.3546,-3.6096,"S1663","Daer Reservoir  "
"Netherlands",52.5224,6.2916,"S1665","Dalfsen-Welsum"
"Ireland",53.2708,-6.084,"S1666","Dalkey Island"
"Great Britain",56.7959,-2.6107,"S1667","Dalladies"
"Great Britain",51.6381,-4.67632,"S1673","Daylight Rock"
"Netherlands",52.8494,6.1261,"S1674","De Eese"
"Belgium",50.72,3.36,"S1675","De Hel"
"Netherlands",53.15,6.05,"S1676","De Leijen"
"Belgium",51.25,5.4667,"S1677","De Waag"
"Great Britain",57.2344,-2.3579,"S1679","Deer's Den"
"Germany",51.91,11.19,"S1680","Deesdorf, Pfingstberg"
"Germany",48.84,12.84,"S1682","Deggendorf (Sommersdorf)"
"Germany",51.53,8.09,"S1683","Deiringsen-Ruploh"
"Switzerland",46.914,6.95592,"S1685","Delley-Portalban II"
"France",43.8696,6.5794,"S1686","Demandolx Dolmen de Vieilleville"
"Ireland",54.2399,-5.8446,"S1689","Dendrum Nature Reserve"
"Netherlands",52.37,7.01,"S1690","Denekamp, Klokkenberg"
"Germany",51.87,10.9,"S1693","Derenburg, Steinkuhlenberg"
"France",45.62,6.77,"S1694","DERRIERE LA MOTTE"
"France",49.02,-0.12,"S1696","DERRIERE LES PRES"
"Netherlands",52.9405,7.015,"S1697","Dertienhuizen A"
"Netherlands",52.9405,7.015,"S1698","Dertienhuizen B"
"France",49.1,6.13,"S1700","DEVANT LES PONTS"
"Netherlands",52.2597,6.1919,"S1701","Deventer-Rielerenk"
"Luxembourg",49.8,6.29,"S1704","Diaklase Waldbillig"
"Germany",49.0349,11.588,"S1706","Dietfurt a.d. Altmühl"
"Netherlands",52.8547,6.31774,"S1707","Diever"
"France",47.22,-0.11,"S1717","DISTRE"
"Germany",51.83,11.19,"S1718","Ditfurt 2"
"Belgium",51.26,4.21,"S1723","Dok"
"Netherlands",53.3189,6.0161,"S1724","Dokkum-Jantjeszeepolder"
"France",47.8167,-1.95,"S1725","DOLMEN DE CHATEAU BU"
"France",43.3,2.53,"S1726","DOLMEN DE ST EUGENE"
"France",44.53,1.88,"S1727","DOLMEN DES AGUALS"
"France",44.21,3.42,"S1729","DOLMEN DU BAGNOLET"
"France",43.82,4.47,"S1730","DOMAINE DE ST PAUL"
"Netherlands",53.0999,6.55,"S1731","Donderen"
"Belgium",50.8428,3.6039,"S1733","Donk"
"Netherlands",52.9906,6.2161,"S1734","Donkerbroek"
"Ireland",55.0017,-6.4042,"S1736","Dooey's Cairn"
"Great Britain",50.7,-2.4333,"S1737","Dorchester"
"Switzerland",47.4769,7.61377,"S1738","Dornach - Landskronstrasse"
"Germany",50.5,8.02,"S1739","Dornburg"
"Great Britain",50.933,-1.99,"S1740","Dorset Cursus"
"France",45.56,6.56,"S1741","DOS DE BORGAZ"
"Germany",52.93,8.38,"S1742","Dötlingen"
"Great Britain",56.6233,-2.6242,"S1743","Douglasmuir"
"Netherlands",53.13,6.14,"S1744","Drachtsercompagnie"
"Sweden",59.98,17.57,"S1746","Dragby"
"Great Britain",51.67,-1.13,"S1748","Drayton Cursus"
"Germany",51,13.7833,"S1749","Dresden-Nickern"
"Germany",51.81,11.9,"S1751","Drosa, Küsterberg"
"Netherlands",52.9552,6.7894,"S1752","Drouwenerzand"
"Great Britain",56.41,-5.4741,"S1753","Druimvargie"
"Germany",51.51,10.25,"S1754","Duderstadt"
"France",43.53,-1.05,"S1756","Dufaure"
"Germany",52.51,8.33,"S1757","Dümmer"
"Great Britain",57.2396,-7.44916,"S1758","Dun Vulan"
